idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
193,1,3,1.5,-0.392079,-0.318812,0.073267,198,161,198,161
186,1,3,1.833,-0.395472,-0.366038,0.029434,262,246,262,244
187,1,2,1.5,-0.394595,-0.372973,0.021622,146,138,146,138
190,1,3,2.0,-0.39726,-0.336301,0.060959,290,277,290,259
191,1,2,2.0,-0.4,-0.35,0.05,216,189,216,189
156,1,4,2.375,-0.398202,-0.349438,0.048764,443,394,443,391
157,1,2,3.0,-0.3984,-0.3728,0.0256,249,233,249,233
198,1,3,2.167,-0.4,-0.340611,0.059389,229,195,229,195
199,1,4,1.375,-0.364103,-0.321368,0.042735,213,188,213,188
166,1,4,1.875,-0.395467,-0.383003,0.012465,349,338,349,338
167,1,2,3.0,-0.4,-0.32988,0.07012,251,207,251,207
210,1,3,1.0,-0.4,-0.4,0.0,174,174,174,174
211,1,3,1.333,-0.356322,-0.36092,-0.004598,155,157,155,157
196,1,2,1.0,-0.4,-0.4,0.0,98,98,98,98
197,1,3,3.0,-0.396958,-0.310266,0.086692,261,204,261,204
188,1,4,1.625,-0.39883,-0.294737,0.104094,341,287,341,267
189,1,4,1.625,-0.252941,-0.146275,0.106667,240,179,195,130
202,1,3,2.0,-0.39645,-0.142899,0.25355,335,301,335,198
203,1,3,1.833,-0.397959,-0.283673,0.114286,195,167,195,151
194,1,4,2.0,-0.394962,-0.319647,0.075315,392,340,392,327
195,1,3,2.0,-0.398479,-0.354373,0.044106,262,254,262,242
126,1,4,2.5,-0.398333,-0.368333,0.03,478,442,478,442
127,1,4,2.25,-0.398242,-0.346374,0.051868,453,408,453,400
216,1,4,1.0,-0.198077,-0.198077,0.0,208,208,148,148
217,1,2,1.75,-0.397861,-0.376471,0.02139,186,176,186,176
214,1,3,2.0,-0.389003,-0.331271,0.057732,283,241,283,241
215,1,4,2.0,-0.394737,-0.332895,0.061842,300,267,300,259
212,1,2,2.0,-0.397647,-0.198235,0.199412,169,107,169,94
213,1,3,1.833,-0.39868,-0.366997,0.031683,302,278,302,278
220,1,2,1.0,-0.4,-0.4,0.0,131,131,131,131
221,1,3,1.667,-0.396958,-0.321293,0.075665,261,255,261,230
184,1,3,1.333,-0.393651,-0.331746,0.061905,186,162,186,159
185,1,2,3.0,-0.398367,-0.339592,0.058776,244,208,244,208
222,1,3,1.5,-0.398312,-0.357806,0.040506,236,212,236,212
223,1,4,1.0,-0.4,-0.375,0.025,252,252,252,243
224,1,3,2.333,-0.4,-0.2508,0.1492,250,197,250,174
225,1,2,1.25,-0.390551,-0.337008,0.053543,124,107,124,107
226,1,3,1.667,-0.358163,-0.320918,0.037245,179,166,177,161
227,1,3,2.0,-0.398795,-0.361145,0.037651,331,305,331,302
206,1,3,3.0,-0.395556,-0.38,0.015556,356,342,356,342
207,1,2,1.5,-0.376471,-0.323529,0.052941,128,110,128,110
236,1,2,1.25,-0.39685,-0.32126,0.075591,126,102,126,102
237,1,2,1.75,-0.39823,-0.282743,0.115487,225,193,225,174
230,1,4,1.5,-0.3936,-0.319733,0.073867,369,333,369,314
231,1,4,1.375,-0.385625,-0.374063,0.011562,312,308,310,303
242,1,2,2.0,-0.393043,-0.216522,0.176522,113,92,113,75
243,1,4,1.5,-0.384,-0.363636,0.020364,264,250,264,250
240,1,2,2.0,-0.383133,-0.320482,0.062651,159,133,159,133
241,1,4,1.5,-0.397251,-0.347766,0.049485,289,253,289,253
208,1,2,1.75,-0.395349,-0.367442,0.027907,170,158,170,158
209,1,4,1.625,-0.397251,-0.209278,0.187973,289,203,289,174
232,1,3,1.0,-0.221569,-0.221569,0.0,153,153,114,114
233,1,4,2.0,-0.398238,-0.337885,0.060352,452,394,452,388
204,1,4,3.0,-0.368916,-0.311861,0.057055,479,418,463,397
205,1,3,2.333,-0.397112,-0.349819,0.047292,275,244,275,243
238,1,3,2.667,-0.4,-0.350432,0.049568,347,304,347,304
239,1,3,2.0,-0.4,-0.38917,0.01083,277,273,277,271
244,1,2,1.75,-0.355,-0.35,0.005,142,140,142,140
245,1,2,1.25,-0.4,-0.4,0.0,117,117,117,117
142,1,3,3.0,-0.390137,-0.350685,0.039452,356,320,356,320
143,1,2,1.0,-0.4,-0.4,0.0,83,83,83,83
252,1,2,1.5,-0.4,-0.370253,0.029747,158,148,158,147
253,1,2,2.0,-0.397143,-0.221429,0.175714,139,109,139,91
246,1,3,1.5,-0.377889,-0.334171,0.043719,188,168,188,167
247,1,2,2.25,-0.4,-0.285714,0.114286,182,130,182,130
248,1,3,1.833,-0.395402,-0.369349,0.026054,258,248,258,244
249,1,4,1.625,-0.389116,-0.356463,0.032653,286,262,286,262
256,1,4,1.625,-0.390508,-0.389492,0.001017,295,289,291,288
257,1,2,1.5,-0.3904,-0.272,0.1184,122,85,122,85
250,1,3,2.167,-0.393464,-0.342484,0.05098,301,276,301,268
251,1,2,2.0,-0.398131,-0.314019,0.084112,213,168,213,168
262,1,3,1.333,-0.394286,-0.368571,0.025714,138,129,138,129
263,1,3,1.667,-0.39661,-0.316949,0.079661,234,187,234,187
106,1,3,3.0,-0.4,-0.32605,0.07395,357,291,357,291
107,1,2,3.0,-0.396813,-0.349004,0.047809,249,219,249,219
266,1,2,1.75,-0.4,-0.341414,0.058586,198,169,198,169
267,1,2,1.0,-0.4,-0.4,0.0,97,97,97,97
258,1,4,1.75,-0.386711,-0.257475,0.129236,291,248,291,217
259,1,4,1.625,-0.381191,-0.359248,0.021944,304,290,304,288
272,1,3,1.5,-0.364091,-0.349091,0.015,202,192,201,192
273,1,2,1.5,-0.4,-0.383673,0.016327,147,141,147,141
274,1,4,2.0,-0.388333,-0.301111,0.087222,353,327,351,295
275,1,2,1.0,-0.37686,-0.37686,0.0,121,121,117,117
228,1,4,2.0,-0.4,-0.320789,0.079211,380,331,380,316
229,1,4,2.25,-0.373171,-0.339939,0.033232,306,298,306,287
254,1,2,3.0,-0.4,-0.337945,0.062055,253,219,253,216
255,1,3,1.333,-0.397753,-0.361798,0.035955,177,161,177,161
284,1,2,1.5,-0.397714,-0.361143,0.036571,174,158,174,158
285,1,2,1.0,-0.05,-0.05,0.0,144,144,72,72
288,1,4,2.0,-0.383657,-0.351247,0.03241,348,317,347,317
289,1,2,1.5,-0.394558,-0.389116,0.005442,145,143,145,143
286,1,3,2.167,-0.395556,-0.317037,0.078519,267,214,267,214
287,1,2,2.0,-0.4,-0.371831,0.028169,213,198,213,198
264,1,2,2.5,-0.395142,-0.304453,0.090688,244,223,244,203
265,1,4,1.875,-0.397094,-0.313075,0.084019,410,395,410,354
278,1,2,2.0,-0.39798,-0.347475,0.050505,197,172,197,172
279,1,4,2.125,-0.396891,-0.293005,0.103886,383,365,383,318
294,1,3,1.0,-0.4,-0.4,0.0,140,140,140,140
295,1,2,1.5,-0.397927,-0.375648,0.02228,192,190,192,185
292,1,4,1.75,-0.381333,-0.318667,0.062667,286,239,286,239
293,1,3,1.833,-0.398616,-0.186159,0.212457,288,250,288,184
268,1,2,3.0,-0.393676,-0.395257,-0.001581,249,250,249,250
269,1,4,3.0,-0.397321,-0.327679,0.069643,445,430,445,394
276,1,3,1.0,-0.288889,-0.288889,0.0,126,126,106,106
277,1,4,2.25,-0.39206,-0.339206,0.052854,395,347,395,344
296,1,3,2.0,-0.4,-0.355906,0.044094,254,226,254,226
297,1,2,1.25,-0.39726,-0.364384,0.032877,145,133,145,133
300,1,2,2.25,-0.397938,-0.331959,0.065979,193,161,193,161
301,1,2,2.0,-0.397727,-0.372727,0.025,175,164,175,164
282,1,4,1.875,-0.391667,-0.344444,0.047222,319,279,318,279
283,1,4,1.875,-0.388372,-0.348837,0.039535,334,321,334,309
308,1,4,1.5,-0.390725,-0.345797,0.044928,337,307,337,302
309,1,2,2.0,-0.379487,-0.346154,0.033333,148,149,148,141
310,1,3,1.0,-0.115,-0.115,0.0,140,140,83,83
311,1,3,2.0,-0.394245,-0.273741,0.120504,274,248,274,215
316,1,2,1.5,-0.389189,-0.343243,0.045946,144,127,144,127
317,1,4,1.5,-0.388988,-0.306845,0.082143,332,277,329,266
312,1,4,1.0,-0.4,-0.4,0.0,182,182,182,182
313,1,4,1.5,-0.398653,-0.364646,0.034007,296,283,296,276
280,1,3,2.333,-0.4,-0.366667,0.033333,300,275,300,275
281,1,4,3.0,-0.394792,-0.235938,0.158854,379,363,379,285
306,1,3,1.833,-0.398611,-0.327778,0.070833,287,243,287,239
307,1,3,2.333,-0.4,-0.336765,0.063235,272,229,272,229
260,1,3,2.333,-0.398606,-0.380488,0.018118,286,273,286,273
261,1,3,2.667,-0.4,-0.352162,0.047838,370,331,370,328
304,1,3,2.333,-0.39366,-0.344957,0.048703,345,329,343,312
305,1,3,2.167,-0.4,-0.366013,0.033987,306,280,306,280
314,1,3,1.0,-0.326543,-0.326543,0.0,162,162,145,145
315,1,4,1.875,-0.381227,-0.262455,0.118773,271,229,267,202
302,1,4,2.0,-0.378116,-0.34072,0.037396,343,311,342,309
303,1,3,1.833,-0.4,-0.355556,0.044444,324,288,324,288
234,1,4,3.0,-0.398198,-0.37027,0.027928,442,411,442,411
235,1,3,3.0,-0.397701,-0.32069,0.077011,346,307,346,291
322,1,2,2.0,-0.397727,-0.354545,0.043182,175,156,175,156
323,1,3,1.333,-0.390751,-0.326012,0.06474,169,141,169,141
326,1,2,1.25,-0.386667,-0.326667,0.06,116,98,116,98
327,1,2,1.5,-0.4,-0.396947,0.003053,131,130,131,130
200,1,3,2.0,-0.39863,-0.387671,0.010959,291,283,291,283
201,1,4,3.0,-0.396,-0.3644,0.0316,495,480,495,466
332,1,3,1.5,-0.372432,-0.208108,0.164324,174,161,173,124
333,1,2,1.5,-0.4,-0.37686,0.02314,121,114,121,114
324,1,3,1.667,-0.4,-0.323207,0.076793,237,209,237,199
325,1,3,1.333,-0.398291,-0.393162,0.005128,233,230,233,230
320,1,2,2.0,-0.394595,-0.362162,0.032432,146,134,146,134
321,1,2,2.0,-0.4,-0.138462,0.261538,143,67,143,57
346,1,2,1.5,-0.396172,-0.37512,0.021053,207,196,207,196
347,1,3,1.5,-0.396262,-0.35514,0.041121,212,190,212,190
328,1,2,1.5,-0.4,-0.254676,0.145324,139,113,139,99
