,id,Speed,Flow,Density
0,E101_0,14.65,720.0768000000002,13.653333333333334
1,E102_0,14.26,720.07296,14.026666666666666
2,E103_1,12.98,720.2342400000001,15.413333333333334
3,E108_0,12.96,719.74656,15.426666666666668
4,E108_1,14.48,720.0614400000001,13.813333333333333
5,E109_0,11.49,719.7336,17.4
6,E111_0,14.2,1230.9696,24.08
7,E112_0,14.98,720.47808,13.359999999999998
8,E114_0,12.25,719.7120000000001,16.32
9,E115_0,13.98,720.0259200000002,14.306666666666668
10,E118_1,14.44,720.15168,13.853333333333333
11,E119_0,15.08,720.2208,13.266666666666667
12,E119_1,15.56,719.9923200000001,12.853333333333333
13,E104_0,13.78,720.30816,14.520000000000001
14,E105_0,12.85,1440.228,31.133333333333333
15,E105_1,12.3,1440.576,32.53333333333333
16,E107_1,12.32,1440.55296,32.48
17,E108_0,13.11,719.89632,15.253333333333332
18,E110_0,13.68,432.06912,8.773333333333333
19,E110_1,14.07,719.93376,14.213333333333333
20,E111_0,14.31,925.2273600000001,17.96
21,E112_1,12.39,1439.8171200000002,32.28
22,E113_0,11.82,191.76767999999998,4.506666666666666
23,E115_0,13.25,2159.856,45.28
24,E115_1,13.9,1453.8288,29.05333333333333
25,E116_0,15.68,720.27648,12.76
26,E118_0,13.96,719.66592,14.32
27,E118_1,12.95,719.8127999999999,15.44
28,E119_0,11.42,720.28224,17.52
29,E119_1,15.79,720.024,12.666666666666666
30,E120_0,12.13,719.6486400000001,16.48
31,E101_0,14.04,719.74656,14.24
32,E101_1,14.25,428.868,8.36
33,E102_0,13.79,720.16896,14.506666666666668
34,E102_1,12.45,1165.9176,26.013333333333335
35,E103_0,14.96,719.5161599999999,13.359999999999998
36,E103_1,12.96,720.36864,15.44
37,E104_0,14.08,1439.5392,28.4
38,E105_0,15.8,719.7216000000001,12.653333333333334
39,E107_0,11.75,720.228,17.026666666666664
40,E108_0,12.54,839.0764799999998,18.586666666666666
41,E108_1,13.49,1509.3691199999998,31.08
42,E109_1,14.14,720.12192,14.146666666666667
43,E110_0,14.15,719.9520000000001,14.133333333333333
44,E111_0,13.45,719.8439999999999,14.866666666666667
45,E112_0,12.46,720.08832,16.05333333333333
46,E113_0,14.43,719.65296,13.853333333333333
47,E113_1,15.12,558.10944,10.253333333333334
48,E114_0,11.85,1439.6327999999999,33.74666666666666
49,E114_1,12.12,1439.856,33.0
50,E115_0,13.69,2399.8022400000004,48.69333333333334
51,E115_1,13.74,1433.79648,28.986666666666665
52,E118_1,12.26,1440.01056,32.626666666666665
53,E119_0,11.96,1815.2409599999999,42.16
54,E119_1,13.88,720.2054400000001,14.413333333333334
55,E120_0,12.98,720.2342400000001,15.413333333333334
56,E120_1,13.4,719.7407999999999,14.919999999999998
57,E2_0,12.96,719.74656,15.426666666666668
58,E18_0,13.97,720.1814400000001,14.32
59,E21_1,14.23,719.92416,14.053333333333333
60,E101_0,13.58,1304.33184,26.680000000000003
61,E102_1,13.92,221.82911999999996,4.426666666666666
62,E103_1,14.72,719.98464,13.586666666666666
63,E104_0,14.6,720.4224,13.706666666666667
64,E105_0,12.74,793.7529600000001,17.30666666666667
65,E108_0,11.6,609.6959999999999,14.6
66,E108_1,9.37,892.32384,26.453333333333333
67,E111_0,15.18,1104.61824,20.21333333333333
68,E112_0,12.3,720.288,16.266666666666666
69,E113_1,13.71,1440.53712,29.186666666666667
70,E114_1,13.86,719.83296,14.426666666666668
71,E115_0,10.08,2702.2464,74.46666666666667
72,E115_1,10.52,2159.71392,57.02666666666667
73,E117_0,12.56,1482.4819200000002,32.78666666666667
74,E118_0,14.11,719.9486400000001,14.173333333333336
75,E118_1,7.85,720.4416,25.493333333333336
76,E120_0,14.28,736.16256,14.32
77,E18_0,14.09,720.2807999999999,14.2
78,E29_0,13.75,720.06,14.546666666666665
79,E33_0,14.0,1440.0960000000002,28.573333333333334
80,-E3_1,13.04,720.43392,15.346666666666666
81,-E24_0,15.68,551.68512,9.773333333333333
82,-E28_0,13.37,2159.5224,44.86666666666667
83,-E28_1,14.72,1440.67584,27.186666666666667
84,-E40_0,15.97,719.7998400000001,12.520000000000001
85,-E40_1,14.05,1440.5184000000002,28.48
86,E101_0,12.24,640.3968,14.533333333333333
87,E102_0,11.98,720.52512,16.706666666666667
88,E103_1,13.79,720.16896,14.506666666666668
89,E105_0,14.0,638.4,12.666666666666666
90,E107_1,12.77,1892.2075199999997,41.16
91,E108_0,8.11,1889.9543999999999,64.73333333333333
92,E108_1,7.99,2379.3580800000004,82.72
93,E109_0,12.68,1418.1311999999998,31.066666666666666
94,E111_0,13.8,1090.3104,21.94666666666667
95,E113_0,14.7,719.712,13.6
96,E115_0,7.29,719.78544,27.426666666666666
97,E115_1,10.04,719.9884800000001,19.92
98,E116_0,14.24,719.74656,14.04
99,E117_0,13.09,676.7006399999999,14.359999999999998
100,E117_1,13.16,720.1152,15.2
101,E119_0,10.59,719.78112,18.88
102,E120_0,12.16,1128.8371200000001,25.78666666666667
103,E29_0,13.84,720.1228800000001,14.453333333333335
104,E33_0,15.23,720.0744000000001,13.133333333333333
105,-E3_1,12.67,720.0614400000001,15.786666666666667
106,-E16_0,13.9,1439.8175999999999,28.77333333333333
107,-E16_1,14.06,720.0969600000001,14.226666666666667
108,-E19_0,15.11,720.20304,13.24
109,-E28_0,13.26,1440.35424,30.173333333333332
110,-E32_0,11.95,1740.876,40.46666666666667
111,-E32_1,12.12,1440.43776,33.013333333333335
112,-E36_1,14.06,720.0969600000001,14.226666666666667
113,-E40_0,13.43,720.0628800000001,14.893333333333334
114,E101_0,9.72,1440.27072,41.16
115,E101_1,12.38,720.21888,16.16
116,E102_1,14.34,1147.42944,22.22666666666667
117,E103_1,12.19,720.28272,16.413333333333334
118,E104_1,15.44,720.36864,12.96
119,E107_0,14.09,719.6044800000001,14.186666666666667
120,E107_1,9.4,1107.696,32.733333333333334
121,E108_0,6.34,489.65088,21.453333333333333
122,E108_1,8.38,1174.9430400000003,38.94666666666667
123,E109_0,16.11,719.92368,12.413333333333334
124,E109_1,15.49,719.72736,12.906666666666666
125,E110_0,13.79,1440.33792,29.013333333333335
126,E111_0,12.34,720.2611199999999,16.21333333333333
127,E112_0,15.4,719.9808,12.986666666666668
128,E113_0,14.0,719.7120000000001,14.280000000000001
129,E118_0,13.88,720.2054400000001,14.413333333333334
130,E119_1,12.81,0.6148800000000001,0.013333333333333334
131,E13_0,13.98,720.0259200000002,14.306666666666668
132,E13_1,14.13,719.61264,14.146666666666667
133,E17_0,13.78,271.19039999999995,5.466666666666667
134,-E12_0,12.67,1440.1228800000001,31.573333333333334
135,-E19_0,13.36,719.51616,14.96
136,-E23_0,11.85,2160.8712,50.653333333333336
137,-E23_1,12.76,1439.9404800000002,31.34666666666667
138,-E36_0,13.28,720.3072,15.066666666666666
139,-E36_1,13.12,1440.2611200000001,30.493333333333336
140,-E40_0,14.96,720.23424,13.373333333333333
141,E102_1,9.9,1144.7568,32.12
142,E103_1,8.38,1440.0192000000002,47.733333333333334
143,E104_0,14.02,783.9984000000001,15.533333333333333
144,E104_1,14.11,719.9486400000001,14.173333333333336
145,E105_0,14.22,797.23008,15.573333333333332
146,E108_0,12.13,719.6486400000001,16.48
147,E109_0,13.71,719.93952,14.586666666666666
148,E111_0,10.14,720.3456000000001,19.733333333333334
149,E114_0,14.72,719.98464,13.586666666666666
150,E115_1,7.29,1824.8328,69.53333333333333
151,E116_0,9.39,2159.85024,63.89333333333334
152,E118_0,12.28,1440.0019200000002,32.57333333333334
