idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
191,1,2,1.0,-0.4,-0.4,0.0,81,81,81,81
182,1,4,3.0,-0.361818,-0.335152,0.026667,453,427,450,420
183,1,6,1.75,-0.388331,-0.301459,0.086872,599,479,599,471
196,1,3,2.667,-0.378068,-0.342559,0.035509,362,328,362,328
197,1,4,2.0,-0.351724,-0.334483,0.017241,306,291,306,291
208,1,4,1.875,-0.30365,-0.293431,0.010219,208,201,208,201
209,1,4,1.75,-0.361398,-0.345593,0.015805,299,286,298,285
206,1,3,1.5,-0.369399,-0.301639,0.06776,169,138,169,138
207,1,6,2.083,-0.356007,-0.309983,0.046024,526,458,526,458
220,1,2,3.0,-0.341667,-0.341667,0.0,164,164,164,164
221,1,3,2.0,-0.379856,-0.374101,0.005755,264,260,264,260
222,1,2,2.0,-0.39084,-0.39084,0.0,128,128,128,128
223,1,3,2.0,-0.385714,-0.382143,0.003571,324,321,324,321
192,1,6,2.667,-0.385132,-0.32506,0.060072,803,732,803,701
193,1,4,2.0,-0.356579,-0.253618,0.102961,271,212,271,201
218,1,4,2.0,-0.325128,-0.313333,0.011795,324,316,320,310
219,1,6,1.5,-0.325159,-0.283298,0.04186,395,391,389,359
238,1,2,1.5,-0.37037,-0.37037,0.0,50,50,50,50
239,1,2,2.0,-0.302439,-0.278049,0.02439,62,57,62,57
210,1,2,2.25,-0.378544,-0.358621,0.019923,247,234,247,234
211,1,2,2.25,-0.377778,-0.355556,0.022222,221,208,221,208
230,1,4,1.375,-0.383446,-0.381081,0.002365,289,282,286,282
231,1,4,1.75,-0.290196,-0.290196,0.0,148,148,148,148
236,1,3,1.5,-0.340625,-0.340625,0.0,218,218,218,218
237,1,2,2.0,-0.325,-0.325,0.0,52,52,52,52
216,1,6,2.25,-0.385141,-0.282021,0.10312,648,492,648,482
217,1,2,2.0,-0.288372,-0.288372,0.0,62,62,62,62
224,1,4,1.875,-0.357895,-0.270677,0.087218,238,180,238,180
