cell_id,x,y
A1.-E114.C4,-0.5,-15
A1.-E114.C0,-0.5,-16

A1.E105.C0,5.5,16
A1.E105.C4,5.5,15
A1.E105.C5,5.5,14
A1.E105.C6,5.75,13
A1.E105.C7,5.25,13
A0.E33.C1,5.75,11
A0.E33.C2,5.25,11
A0.E33.C3,5.5,10
A0.E33.C4,5.5,9
A0.E33.C5,5.5,8
A0.E33.C6,5.75,7
A0.E33.C7,5.25,7
A0.E34.C1,5.75,5
A0.E34.C2,5.25,5
A0.E34.C3,5.5,4
A0.E34.C4,5.5,3
A0.E34.C5,5.5,2
A0.E34.C6,5.75,1
A0.E34.C7,5.25,1
A0.E35.C1,5.75,-1
A0.E35.C2,5.25,-1
A0.E35.C3,5.5,-2
A0.E35.C4,5.5,-3
A0.E35.C5,5.5,-4
A0.E35.C6,5.75,-5
A0.E35.C7,5.25,-5
A0.E36.C1,5.75,-7
A0.E36.C2,5.25,-7
A0.E36.C3,5.5,-8
A0.E36.C4,5.5,-9
A0.E36.C5,5.5,-10
A0.E36.C6,5.75,-11
A0.E36.C7,5.25,-11
A1.-E113.C1,5.75,-13
A1.-E113.C2,5.25,-13
A1.-E113.C3,5.5,-14
A1.-E113.C4,5.5,-15
A1.-E113.C0,5.5,-16

A1.E106.C0,11.5,16
A1.E106.C4,11.5,15
A1.E106.C5,11.5,14
A1.E106.C6,11.75,13
A1.E106.C7,11.25,13
A0.E37.C1,11.75,11
A0.E37.C2,11.25,11
A0.E37.C3,11.5,10
A0.E37.C4,11.5,9
A0.E37.C5,11.5,8
A0.E37.C6,11.75,7
A0.E37.C7,11.25,7
A0.E38.C1,11.75,5
A0.E38.C2,11.25,5
A0.E38.C3,11.5,4
A0.E38.C4,11.5,3
A0.E38.C5,11.5,2
A0.E38.C6,11.75,1
A0.E38.C7,11.25,1
A0.E39.C1,11.75,-1
A0.E39.C2,11.25,-1
A0.E39.C3,11.5,-2
A0.E39.C4,11.5,-3
A0.E39.C5,11.5,-4
A0.E39.C6,11.75,-5
A0.E39.C7,11.25,-5
A0.E40.C1,11.75,-7
A0.E40.C2,11.25,-7
A0.E40.C3,11.5,-8
A0.E40.C4,11.5,-9
A0.E40.C5,11.5,-10
A0.E40.C6,11.75,-11
A0.E40.C7,11.25,-11
A1.-E112.C1,11.75,-13
A1.-E112.C2,11.25,-13
A1.-E112.C3,11.5,-14
A1.-E112.C4,11.5,-15
A1.-E112.C0,11.5,-16


A1.-E102.C0,-11.5,16
A1.-E102.C4,-11.5,15
A1.-E102.C3,-11.5,14
A1.-E102.C2,-11.25,13
A1.-E102.C1,-11.75,13
A0.-E21.C7,-11.25,11
A0.-E21.C6,-11.75,11
A0.-E21.C5,-11.5,10
A0.-E21.C4,-11.5,9
A0.-E21.C3,-11.5,8
A0.-E21.C2,-11.25,7
A0.-E21.C1,-11.75,7
A0.-E22.C7,-11.25,5
A0.-E22.C6,-11.75,5
A0.-E22.C5,-11.5,4
A0.-E22.C4,-11.5,3
A0.-E22.C3,-11.5,2
A0.-E22.C2,-11.25,1
A0.-E22.C1,-11.75,1
A0.-E23.C7,-11.25,-1
A0.-E23.C6,-11.75,-1
A0.-E23.C5,-11.5,-2
A0.-E23.C4,-11.5,-3
A0.-E23.C3,-11.5,-4
A0.-E23.C2,-11.25,-5
A0.-E23.C1,-11.75,-5
A0.-E24.C7,-11.25,-7
A0.-E24.C6,-11.75,-7
A0.-E24.C5,-11.5,-8
A0.-E24.C4,-11.5,-9
A0.-E24.C3,-11.5,-10
A0.-E24.C2,-11.25,-11
A0.-E24.C1,-11.75,-11
A1.E116.C7,-11.25,-13
A1.E116.C6,-11.75,-13
A1.E116.C5,-11.5,-14
A1.E116.C4,-11.5,-15
A1.E116.C0,-11.5,-16

A1.-E103.C0,-5.5,16
A1.-E103.C4,-5.5,15
A1.-E103.C3,-5.5,14
A1.-E103.C2,-5.25,13
A1.-E103.C1,-5.75,13
A0.-E25.C7,-5.25,11
A0.-E25.C6,-5.75,11
A0.-E25.C5,-5.5,10
A0.-E25.C4,-5.5,9
A0.-E25.C3,-5.5,8
A0.-E25.C2,-5.25,7
A0.-E25.C1,-5.75,7
A0.-E26.C7,-5.25,5
A0.-E26.C6,-5.75,5
A0.-E26.C5,-5.5,4
A0.-E26.C4,-5.5,3
A0.-E26.C3,-5.5,2
A0.-E26.C2,-5.25,1
A0.-E26.C1,-5.75,1
A0.-E27.C7,-5.25,-1
A0.-E27.C6,-5.75,-1
A0.-E27.C5,-5.5,-2
A0.-E27.C4,-5.5,-3
A0.-E27.C3,-5.5,-4
A0.-E27.C2,-5.25,-5
A0.-E27.C1,-5.75,-5
A0.-E28.C7,-5.25,-7
A0.-E28.C6,-5.75,-7
A0.-E28.C5,-5.5,-8
A0.-E28.C4,-5.5,-9
A0.-E28.C3,-5.5,-10
A0.-E28.C2,-5.25,-11
A0.-E28.C1,-5.75,-11
A1.E115.C7,-5.25,-13
A1.E115.C6,-5.75,-13
A1.E115.C5,-5.5,-14
A1.E115.C4,-5.5,-15
A1.E115.C0,-5.5,-16

A1.-E104.C0,0.5,16
A1.-E104.C4,0.5,15
A1.-E104.C3,0.5,14
A1.-E104.C2,0.75,13
A1.-E104.C1,0.25,13
A0.-E29.C7,0.75,11
A0.-E29.C6,0.25,11
A0.-E29.C5,0.5,10
A0.-E29.C4,0.5,9
