idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
230,1,2,4.0,-0.348718,-0.353846,-0.005128,136,138,136,138
231,1,6,4.0,-0.34985,-0.302402,0.047447,600,521,590,511
294,1,3,4.0,-0.398925,-0.315054,0.083871,371,293,371,293
295,1,4,4.0,-0.374373,-0.266295,0.108078,336,239,336,239
282,1,2,4.0,-0.397895,-0.273684,0.124211,189,130,189,130
283,1,6,4.0,-0.39687,-0.286541,0.110329,634,498,634,475
292,1,3,4.0,-0.39899,-0.324495,0.074495,395,344,395,331
293,1,2,4.0,-0.38,-0.292,0.088,190,146,190,146
286,1,2,4.0,-0.4,-0.367521,0.032479,234,215,234,215
287,1,6,4.0,-0.399437,-0.291972,0.107465,709,569,709,540
278,1,6,4.0,-0.398196,-0.357216,0.040979,776,693,774,693
279,1,2,4.0,-0.395628,-0.255738,0.139891,181,117,181,117
276,1,3,4.0,-0.4,-0.283158,0.116842,380,269,380,269
277,1,6,4.0,-0.399418,-0.342504,0.056914,686,604,686,595
290,1,3,4.0,-0.368675,-0.36506,0.003614,306,303,306,303
291,1,6,4.0,-0.3625,-0.333882,0.028618,551,525,551,515
280,1,2,4.0,-0.39798,-0.274747,0.123232,197,136,197,136
281,1,6,4.0,-0.391447,-0.32023,0.071217,595,492,595,489
254,1,6,4.0,-0.378978,-0.34219,0.036788,649,586,649,586
255,1,4,4.0,-0.365179,-0.291964,0.073214,409,327,409,327
272,1,6,4.0,-0.38897,-0.297533,0.091437,670,614,670,556
273,1,4,4.0,-0.36093,-0.325116,0.035814,388,360,388,354
296,1,4,4.0,-0.39569,-0.294828,0.100862,459,342,459,342
297,1,4,4.0,-0.399099,-0.330405,0.068694,443,379,443,372
274,1,6,4.0,-0.399467,-0.326498,0.072969,750,683,750,643
275,1,3,4.0,-0.4,-0.3235,0.0765,400,341,400,331
262,1,6,4.0,-0.38845,-0.330091,0.058359,639,550,639,546
263,1,6,4.0,-0.381277,-0.331348,0.049929,672,584,672,584
